age,box_ddpm,box_odpm,d_dpm,d_dpm_rank,dpm,dpm_rank,nba_id,o_dpm,o_dpm_rank,on_off_ddpm,on_off_odpm,player_name,season,team_name,tm_id
27.1,-0.18,-2.95,-0.21,174,-3.1,416,211,-2.9,422,-0.44,-2.03,Eric Mobley,1997,Memphis Grizzlies,1610612763
24.5,0.83,-3.41,0.73,48,-2.59,370,212,-3.33,448,-0.19,-2.04,Yinka Dare,1997,Brooklyn Nets,1610612751
28.5,0.5,-1.65,0.58,58,-0.95,175,213,-1.53,290,0.68,-1.25,Antonio Davis,1997,Indiana Pacers,1610612754
31.1,-0.38,-1.52,-0.31,203,-1.74,265,216,-1.43,277,-0.19,-1.17,Brian Shaw,1997,Orlando Magic,1610612753
30.7,-1.43,0.56,-1.52,427,-0.94,174,219,0.58,76,-1.66,0.61,Vinny Del Negro,1997,San Antonio Spurs,1610612759
26.6,-0.13,-0.95,-0.06,148,-0.83,162,221,-0.78,198,0.02,-0.49,Clar. Weatherspoon,1997,Philadelphia 76ers,1610612755
25.6,1.59,1.32,1.17,24,2.47,17,224,1.3,42,0.77,1.28,Eddie Jones,1997,Los Angeles Lakers,1610612747
24.9,0.5,-2.08,0.44,72,-1.62,249,226,-2.07,354,0.23,-1.95,Antonio Lang,1997,Cleveland Cavaliers,1610612739
27.3,0.07,-1.77,0.06,122,-1.66,254,228,-1.72,317,0.02,-1.46,Adam Keefe,1997,Utah Jazz,1610612762
24.8,-1.11,-0.92,-1.06,388,-2.03,303,234,-0.97,222,-0.93,-1.15,Khalid Reeves,1997,Dallas Mavericks,1610612742
31.5,-1.66,-1.37,-1.57,432,-2.9,405,236,-1.33,265,-0.99,-0.88,Kevin Edwards,1997,Brooklyn Nets,1610612751
29.1,0.47,-0.51,0.55,62,0.19,85,238,-0.37,154,0.66,-0.04,Tyrone Hill,1997,Cleveland Cavaliers,1610612739
26.1,-1.86,0.39,-1.89,450,-1.24,204,239,0.65,68,-1.95,1.34,Darrick Martin,1997,Los Angeles Clippers,1610612746
26.8,-0.43,-0.18,-0.54,282,-0.86,167,240,-0.32,148,-0.86,-0.97,Brooks Thompson,1997,Denver Nuggets,1610612743
25.5,-0.07,-1.98,-0.1,155,-2.06,310,241,-1.97,344,-0.47,-1.57,Darrin Hancock,1997,Atlanta Hawks,1610612737
24.6,0.87,-0.79,0.74,47,-0.01,97,243,-0.75,195,0.48,-0.62,Aaron McKie,1997,Detroit Pistons,1610612765
28.4,-0.14,-0.55,-0.15,161,-0.73,152,244,-0.58,180,-0.21,-0.87,Dee Brown,1997,Boston Celtics,1610612738
32.8,0.73,-2.19,0.79,42,-1.46,234,246,-2.25,372,0.9,-2.46,Greg Anderson,1997,San Antonio Spurs,1610612759
33.9,-1.33,1.39,-1.42,418,-0.02,98,247,1.4,40,-1.53,1.44,Joe Dumars,1997,Detroit Pistons,1610612765
